
FestivalYear	AssignmentDate	StaffCategory	RequiredStaffCount
2022-01-01	2022-01-01	Technical	2
2022-01-01	2022-01-01	Security	3
2022-01-01	2022-01-01	Auxiliary	4
2022-01-01	2022-01-05	Security	4
2022-01-01	2022-01-05	Auxiliary	1
2022-01-01	2022-01-09	Technical	2
2022-01-01	2022-01-09	Security	1
2022-01-01	2022-01-13	Technical	3
2022-01-01	2022-01-13	Security	4
2022-01-01	2022-01-13	Auxiliary	1
2022-01-01	2022-01-17	Security	2
2022-01-01	2022-01-17	Auxiliary	1
2022-01-01	2022-01-21	Security	2
2022-01-01	2022-01-21	Auxiliary	1
2022-01-01	2022-01-25	Security	1
2022-01-01	2022-01-25	Auxiliary	6
2022-01-01	2022-04-04	Technical	1
2022-01-01	2022-04-04	Security	2
2022-01-01	2022-04-04	Auxiliary	2
2022-01-01	2022-04-08	Technical	2
2022-01-01	2022-04-08	Security	5
2022-01-01	2022-04-08	Auxiliary	1
2022-01-01	2022-04-12	Technical	1
2022-01-01	2022-04-12	Security	3
2022-01-01	2022-04-12	Auxiliary	3
2022-01-01	2022-04-16	Technical	3
2022-01-01	2022-04-16	Security	2
2022-01-01	2022-04-16	Auxiliary	1
2022-01-01	2022-04-20	Security	2
2022-01-01	2022-04-20	Auxiliary	1
2022-01-01	2022-04-24	Technical	1
2022-01-01	2022-04-24	Security	3
2022-01-01	2022-04-24	Auxiliary	2
2022-01-01	2022-04-28	Technical	1
2022-01-01	2022-04-28	Security	3
2022-01-01	2022-04-28	Auxiliary	2
2022-01-01	2022-07-03	Technical	3
2022-01-01	2022-07-03	Security	5
2022-01-01	2022-07-03	Auxiliary	1
2022-01-01	2022-07-07	Technical	2
2022-01-01	2022-07-07	Security	1
2022-01-01	2022-07-07	Auxiliary	2
2022-01-01	2022-07-11	Technical	2
2022-01-01	2022-07-11	Auxiliary	1
2022-01-01	2022-07-15	Technical	1
2022-01-01	2022-07-15	Security	4
2022-01-01	2022-07-15	Auxiliary	2
2022-01-01	2022-07-19	Security	5
2022-01-01	2022-07-19	Auxiliary	3
2022-01-01	2022-07-23	Technical	3
2022-01-01	2022-07-23	Security	1
2022-01-01	2022-07-23	Auxiliary	3
2022-01-01	2022-07-27	Security	1
2022-01-01	2022-07-27	Auxiliary	1
2022-01-01	2022-10-02	Technical	2
